variable,drug,replicate
35.438008083632,Drug,180807
47.10387674495999,Drug,180807
24.4135946544,Drug,180807
7.716610702527999,Drug,180807
38.219243082496,Drug,180807
31.670655339904,Drug,180807
22.484441978768,Drug,180807
44.887505308688,Drug,180807
20.330301273968,Drug,180807
53.001435296768,Drug,180807
22.508376875488,Drug,180807
13.590234357616,Drug,180807
31.057921983872,Drug,180807
50.1436086284,Drug,180807
44.212541221184,Drug,180807
14.054571353984,Drug,180807
49.655336735312005,Drug,180807
41.603637478704,Drug,180807
35.816179451808,Drug,180807
47.573000720672,Drug,180807
7.223551830096,Drug,180807
43.078027116656,Drug,180807
53.116322801024,Drug,180807
16.136907368624,Drug,180807
9.612254522752,Drug,180807
9.78937275848,Drug,180807
32.848252258528,Drug,180807
11.349928024624,Drug,180807
38.257538917248,Drug,180807
54.729534839952,Drug,180807
40.129247840752,Drug,180807
40.995691102016,Drug,180807
33.719482499136,Drug,180807
27.391095806368,Drug,180807
16.0363808024,Drug,180807
42.067974475072,Drug,180807
40.703685362032,Drug,180807
17.955959519344002,Drug,180807
13.231210906816,Drug,180807
6.132120539664,Drug,180807
12.776447869136,Drug,180807
33.058879349664004,Drug,180807
10.220200899439998,Drug,180807
11.072283222672,Drug,180807
16.342747480416,Drug,180807
40.25849628304,Drug,180807
19.061751747808,Drug,180807
23.149832107584,Drug,180807
40.698898382688,Drug,180807
40.320727014512,Drug,180807
28.324556778448,Drug,180807
48.975585668464,Drug,180807
32.987074659504,Drug,180807
54.174245236048,Drug,180807
18.88463351208,Drug,180807
12.546672860624,Drug,180807
20.24892262512,Drug,180807
14.222115631024,Drug,180807
27.994255203712,Drug,180807
22.412637288608,Drug,180807
27.59693591816,Drug,180807
52.556246217776,Drug,180807
34.739109099408005,Drug,180807
47.204403311184,Drug,180807
26.73527963624,Drug,180807
36.869314907488,Drug,180807
30.268070392112,Drug,180807
7.209190892064,Drug,180807
16.0363808024,Drug,180807
15.236955251952,Drug,180807
22.819530532848,Drug,180807
46.285303277136,Drug,180807
19.109621541248,Drug,180807
22.326471660416,Drug,180807
34.51412107024,Drug,180807
50.368596657568,Drug,180807
47.276208001344,Drug,180807
13.470559874016,Drug,180807
11.87170877312,Drug,180807
5.031115290544,Drug,180807
49.334609119264,Drug,180807
7.611297156960001,Drug,180807
16.807084476784,Drug,180807
46.438486616144,Drug,180807
14.207754692992,Drug,180807
50.24413519462401,Drug,180807
24.475825385872003,Drug,180807
13.776926552032002,Drug,180807
6.931546090112,Drug,180807
37.429391490736,Drug,180807
35.80660549312,Drug,180807
6.601244515376,Drug,180807
21.728099242416,Drug,180807
24.60507382816,Drug,180807
13.700334882528,Drug,180807
6.831019523888,Drug,180807
37.98468109464,Drug,180807
6.596457536031999,Drug,180807
22.034465920432,Drug,180807
51.632359204384,Drug,180807
9.746289944384,Drug,180807
10.761129565311997,Drug,180807
23.437050868224,Drug,180807
22.139779466,Drug,180807
51.522258679472,Drug,180807
5.323121030528,Drug,180807
9.439923266368,Drug,180807
14.69602658608,Drug,180807
9.66969827488,Drug,180807
35.189085157744,Drug,180807
13.920535932352,Drug,180807
25.653422304496,Drug,180807
26.165629094304,Drug,180807
29.540449531824,Drug,180807
6.218286167855999,Drug,180807
49.487792458272,Drug,180807
20.794638270336,Drug,180807
53.346097809536,Drug,180807
40.04308221256,Drug,180807
22.465294061392,Drug,180807
6.280516899328001,Drug,180807
30.143608929168,Drug,180807
27.400669765056,Drug,180807
35.323120579376,Drug,180807
18.3101959908,Drug,180807
33.135471019168,Drug,180807
9.444710245712,Drug,180807
35.002392963328,Drug,180807
14.50454741232,Drug,180807
28.429870324016,Drug,180807
38.037337867424,Drug,180807
45.557682416848,Drug,180807
46.76878819088,Drug,180807
29.468644841664,Drug,180807
7.089516408464,Drug,180807
6.945907028143999,Drug,180807
53.54236396264,Drug,180807
21.890856540112,Drug,180807
30.54092821472,Drug,180807
11.483963446256,Drug,180807
5.7443752128,Drug,180807
33.07802726704001,Drug,180807
7.659166950399999,Drug,180807
21.905217478144003,Drug,180807
53.896600434096,Drug,180807
22.388702391888,Drug,180807
30.488271441936003,Drug,180807
19.406414260576,Drug,180807
34.672091388592,Drug,180807
32.953565804095994,Drug,180807
13.867879159568,Drug,180807
43.910961522512,Drug,180807
29.138343266928,Drug,180807
24.777405084544,Drug,180807
22.95356595448,Drug,180807
32.154140253648,Drug,180807
31.373862620576,Drug,180807
14.925801594592,Drug,180807
35.49545183576,Drug,180807
43.33652400123201,Drug,180807
12.288175976048,Drug,180807
28.487314076144,Drug,180807
25.390138440576,Drug,180807
40.01914731584,Drug,180807
29.928194858688,Drug,180807
7.836285186128,Drug,180807
27.975107286336,Drug,180807
34.212541371568,Drug,180807
9.8133076552,Drug,180807
17.869793891152,Drug,180807
7.051220573712,Drug,180807
36.409764890464,Drug,180807
42.67592085176,Drug,180807
12.020105132784,Drug,180807
16.596457385648,Drug,180807
16.328386542384,Drug,180807
22.575394586304,Drug,180807
36.184776861296,Drug,180807
42.522737512752,Drug,180807
11.981809298032,Drug,180807
16.687409993183998,Drug,180807
16.141694347968,Drug,180807
22.637625317776,Drug,180807
6.251795023264,Drug,180807
29.707993808864003,Drug,180807
29.640976098048,Drug,180807
44.954523019504,Drug,180807
19.152704355344,Drug,180807
31.895643369072,Drug,180807
10.067017560432,Drug,180807
28.669219291216,Drug,180807
28.966012010544,Drug,180807
19.69842000056,Drug,180807
12.73336505504,Drug,180807
16.261368831568,Drug,180807
41.972234888192,Drug,180807
31.010052190432,Drug,180807
40.406892642704,Drug,180807
40.167543675504,Drug,180807
20.181904914304,Drug,180807
23.274293570528,Drug,180807
20.397318984784,Drug,180807
39.463857711936,Drug,180807
17.003350629888,Drug,180807
50.205839359872,Drug,180807
26.132120238896,Drug,180807
49.588319024496,Drug,180807
19.090473623872,Drug,180807
45.36141626374401,Drug,180807
10.74676862728,Drug,180807
24.375298819648,Drug,180807
23.79128733968,Drug,180807
29.889899023936,Drug,180807
17.20919074168,Drug,180807
20.172330955616,Drug,180807
26.093824404144,Drug,180807
6.577309618656,Drug,180807
17.673527738048,Drug,180807
12.044040029504002,Drug,180807
36.012445604912,Drug,180807
14.772618255584,Drug,180807
43.197701600256,Drug,180807
13.829583324816,Drug,180807
41.077069750864,Drug,180807
23.140258148896,Drug,180807
19.79415958744,Drug,180807
33.092388205072,Drug,180807
9.779798799792,Drug,180807
32.331258489376005,Drug,180807
42.355193235712,Drug,180807
28.678793249904,Drug,180807
11.2494014584,Drug,180807
31.25897511632,Drug,180807
16.156055285999994,Drug,180807
15.117280768352,Drug,180807
13.906174994320002,Drug,180807
29.827668292464,Drug,180807
30.186691743264,Drug,180807
37.161320647472,Drug,180807
27.855432802736,Drug,180807
18.688367358976,Drug,180807
15.682144330944,Drug,180807
9.329822741456,Drug,180807
11.87170877312,Drug,180807
52.312110271232,Drug,180807
32.115844418896,Drug,180807
15.045476078192,Drug,180807
21.239827349328,Drug,180807
26.864528078528,Drug,180807
18.769746007824,Drug,180807
10.301579548288,Drug,180807
10.512206639424,Drug,180807
26.347534309376,Drug,180807
40.823359845632,Drug,180807
25.744374912032,Drug,180807
25.931067106448,Drug,180807
14.796553152304002,Drug,180807
30.94782145896,Drug,180807
6.424126279648,Drug,180807
7.357587251728,Drug,180807
11.99138325672,Drug,180807
7.300143499600001,Drug,180807
48.726662742576,Drug,180807
14.763044296896,Drug,180807
36.002871646224,Drug,180807
14.284346362496,Drug,180807
11.96744836,Drug,180807
24.585925910784,Drug,180807
7.893728938256,Drug,180807
39.368118125056,Drug,180807
16.294877686975994,Drug,180807
18.171373589824,Drug,180807
15.476304219152,Drug,180807
16.510291757456,Drug,180807
15.53374797128,Drug,180807
23.36045919872,Drug,180807
25.61991344908801,Drug,180807
25.911919189072,Drug,180807
13.887027076944,Drug,180807
38.520822781168,Drug,180807
51.86692119224,Drug,180807
10.45954986664,Drug,180807
